NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
25,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,PERETO,378,361,739
26,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,PESCINA,2070,2194,4264
27,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,ROCCA DI BOTTE,433,397,830
28,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,SAN BENEDETTO DEI MARSI,1900,2010,3910
29,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,SAN VINCENZO VALLE ROVETO,1176,1257,2433
30,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,SANTE MARIE,567,641,1208
31,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,SCURCOLA MARSICANA,1356,1406,2762
32,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,TAGLIACOZZO,3385,3554,6939
33,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,TRASACCO,3089,3055,6144
34,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,VILLAVALLELONGA,437,499,936
1,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,BARETE,338,341,679
2,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,BARISCIANO,902,951,1853
3,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CAGNANO AMITERNO,673,710,1383
4,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CALASCIO,72,65,137
5,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CAMPOTOSTO,299,287,586
6,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CAPESTRANO,416,479,895
7,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CAPITIGNANO,315,365,680
8,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CAPORCIANO,113,122,235
9,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CARAPELLE CALVISIO,47,38,85
10,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CASTEL DEL MONTE,215,232,447
11,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,CASTELVECCHIO CALVISIO,66,93,159
12,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,COLLEPIETRO,115,120,235
13,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,FOSSA,338,352,690
14,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,LUCOLI,510,509,1019
15,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,MONTEREALE,1374,1438,2812
16,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,NAVELLI,293,257,550
17,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,OCRE,558,552,1110
18,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,OFENA,252,275,527
19,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,PIZZOLI,1905,1868,3773
20,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,POGGIO PICENZE,522,546,1068
21,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,PRATA D'ANSIDONIA,248,253,501
22,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,SAN BENEDETTO IN PERILLIS,60,67,127
23,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,SAN PIO DELLE CAMERE,316,315,631
24,4130386040,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTANI MONTAGNA AQUILANA,3-Nov-2023,29,SANT'EUSANIO FORCONESE,198,220,418
