nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
0,4170646030,BASILICATA,POTENZA,UNIONE DI COMUNI VAL CAMASTRA BASENTO,3-Lug-2015,7,,5033,5313,10346
1, , , , , ,,ABRIOLA,756,815,1571
2, , , , , ,,ALBANO DI LUCANIA,750,724,1474
3, , , , , ,,ANZI,850,915,1765
4, , , , , ,,BRINDISI MONTAGNA,476,449,925
5, , , , , ,,CALVELLO,923,1030,1953
6, , , , , ,,LAURENZANA,934,1010,1944
7, , , , , ,,TRIVIGNO,344,370,714
0,4170646020,BASILICATA,POTENZA,UNIONE LUCANA DEL LAGONEGRESE,7-Mag-2015,9,,18675,19926,38601
1, , , , , ,,CASTELLUCCIO INFERIORE,1046,1133,2179
2, , , , , ,,CASTELLUCCIO SUPERIORE,410,450,860
3, , , , , ,,LAGONEGRO,2741,2984,5725
4, , , , , ,,LATRONICO,2298,2450,4748
5, , , , , ,,LAURIA,6474,6788,13262
6, , , , , ,,MARATEA,2496,2654,5150
7, , , , , ,,NEMOLI,728,784,1512
8, , , , , ,,RIVELLO,1372,1471,2843
9, , , , , ,,TRECCHINA,1110,1212,2322
0,4180226040,CALABRIA,CATANZARO,MONTE CONTESSA,1-Gen-2014,5,,8908,9395,18303
1, , , , , ,,CORTALE,1040,1177,2217
2, , , , , ,,CURINGA,3279,3429,6708
3, , , , , ,,JACURSO,270,353,623
4, , , , , ,,MAIDA,2166,2291,4457
5, , , , , ,,SAN PIETRO A MAIDA,2153,2145,4298
0,4180226050,CALABRIA,CATANZARO,MONTI MA.RE. DA TEMESA A TERINA,11-Dic-2014,7,,8980,9182,18162
1, , , , , ,,CONFLENTI,691,746,1437
2, , , , , ,,FALERNA,1855,1946,3801
3, , , , , ,,GIZZERIA,2335,2187,4522
4, , , , , ,,MARTIRANO LOMBARDO,574,593,1167
5, , , , , ,,MOTTA SANTA LUCIA,432,439,871
6, , , , , ,,NOCERA TERINESE,2290,2435,4725
7, , , , , ,,SAN MANGO D'AQUINO,803,836,1639
0,4180226010,CALABRIA,CATANZARO,PRE SILA CATANZARESE,1-Gen-2002,3,,3051,3199,6250
1, , , , , ,,FOSSATO SERRALTA,313,301,614
2, , , , , ,,GIMIGLIANO,1666,1755,3421
3, , , , , ,,PENTONE,1072,1143,2215
0,4180226030,CALABRIA,CATANZARO,UNIONE DEI COMUNI DEL VERSANTE IONICO,1-Gen-2009,9,,12462,13355,25817
1, , , , , ,,BADOLATO,1518,1665,3183
2, , , , , ,,CARDINALE,1116,1218,2334
3, , , , , ,,DAVOLI,2652,2755,5407
4, , , , , ,,GUARDAVALLE,2308,2444,4752
5, , , , , ,,ISCA SULLO IONIO,780,834,1614
6, , , , , ,,SAN SOSTENE,617,694,1311
7, , , , , ,,SAN VITO SULLO IONIO,856,974,1830
8, , , , , ,,SANT'ANDREA APOSTOLO DELLO IONIO,1002,1070,2072
9, , , , , ,,SATRIANO,1613,1701,3314
0,4180226060,CALABRIA,CATANZARO,UNIONE DEI COMUNI DELL'ISTMO,6-Apr-2016,3,,1847,2042,3889
1, , , , , ,,AMATO,392,445,837
2, , , , , ,,MARCELLINARA,1091,1162,2253
3, , , , , ,,MIGLIERINA,364,435,799
0,4180256101,CALABRIA,COSENZA,AREE INTERNE ALTO JONIO,11-Nov-2023,7,,3851,4068,7919
1, , , , , ,,ALBIDONA,728,735,1463
2, , , , , ,,ALESSANDRIA DEL CARRETTO,274,256,530
3, , , , , ,,CANNA,375,410,785
4, , , , , ,,CASTROREGIO,170,175,345
5, , , , , ,,MONTEGIORDANO,962,1026,1988
6, , , , , ,,NOCARA,214,208,422
7, , , , , ,,ORIOLO,1128,1258,2386
0,4180256070,CALABRIA,COSENZA,"BRETTIA UNIONE DEI COMUNI MONTI, MARE E TERME",1-Gen-2005,2,,5951,6219,12170
1, , , , , ,,ACQUAPPESA,925,985,1910
2, , , , , ,,CETRARO,5026,5234,10260
0,4180256110,CALABRIA,COSENZA,CO.RO. PNRR,28-Nov-2023,3,,37930,39149,77079
1, , , , , ,,CORIGLIANO-ROSSANO,36816,38032,74848
2, , , , , ,,CROPALATI,557,540,1097
3, , , , , ,,PALUDI,557,577,1134
0,4180256100,CALABRIA,COSENZA,MARANO,1-Gen-2012,2,,3255,3338,6593
1, , , , , ,,MARANO MARCHESATO,1710,1764,3474
2, , , , , ,,MARANO PRINCIPATO,1545,1574,3119
0,4180256020,CALABRIA,COSENZA,SOLEO,1-Gen-2003,4,,7389,7970,15359
1, , , , , ,,BELVEDERE MARITTIMO,4341,4779,9120
2, , , , , ,,BONIFATI,1392,1520,2912
3, , , , , ,,SANGINETO,672,665,1337
4, , , , , ,,SANT'AGATA DI ESARO,984,1006,1990
0,4180256090,CALABRIA,COSENZA,UNIONE DEI COMUNI DELL'ALTO IONIO - LA VIA DEL MARE,1-Gen-2009,4,,9892,10316,20208
1, , , , , ,,AMENDOLARA,1480,1521,3001
2, , , , , ,,ROCCA IMPERIALE,1628,1664,3292
3, , , , , ,,TREBISACCE,4231,4503,8734
4, , , , , ,,VILLAPIANA,2553,2628,5181
0,4180676010,CALABRIA,REGGIO CALABRIA,UNIONE DEI COMUNI DELLA VALLE DEL TORBIDO,7-Dic-2014,6,,10193,10672,20865
1, , , , , ,,GIOIOSA IONICA,3431,3583,7014
2, , , , , ,,GROTTERIA,1612,1662,3274
3, , , , , ,,MAMMOLA,1413,1558,2971
4, , , , , ,,MARINA DI GIOIOSA IONICA,3213,3302,6515
5, , , , , ,,MARTONE,274,280,554
6, , , , , ,,SAN GIOVANNI DI GERACE,250,287,537
0,4150086010,CAMPANIA,AVELLINO,ANTICO CLANIS,1-Gen-2004,3,,3471,3668,7139
1, , , , , ,,LAURO,1747,1861,3608
2, , , , , ,,MARZANO DI NOLA,839,841,1680
3, , , , , ,,PAGO DEL VALLO DI LAURO,885,966,1851
0,4150086050,CAMPANIA,AVELLINO,TERRE DELL'UFITA,18-Ott-2011,9,,15460,16129,31589
1, , , , , ,,BONITO,1243,1283,2526
2, , , , , ,,FLUMERI,1487,1558,3045
3, , , , , ,,FONTANAROSA,1585,1716,3301
4, , , , , ,,FRIGENTO,1951,2014,3965
5, , , , , ,,GESUALDO,1773,1830,3603
6, , , , , ,,GROTTAMINARDA,4062,4235,8297
7, , , , , ,,MELITO IRPINO,969,967,1936
8, , , , , ,,STURNO,1524,1615,3139
9, , , , , ,,VILLANOVA DEL BATTISTA,866,911,1777
0,4150086060,CAMPANIA,AVELLINO,UNIONE DEI COMUNI DEL BAIANESE ALTO CLANIS,9-Lug-2016,6,,12942,13314,26256
